Price(VND),Acreage,Area,Bedrooms,Floors,Parking,Address,District
9600000000.0,86,4x22m,5,5.0,1,"Đường Hà Thị Đát, Phường Tân Sơn Nhì, Hồ Chí Minh",Phường Tân Sơn Nhì
9900000000.0,54,4x14m,5,4.0,1,"Đường Tân Hương, Phường Phú Thọ Hòa, Hồ Chí Minh",Phường Phú Thọ Hòa
55000000000.0,122,"6,3x22m",5,3.0,1,"Đường Lý Thường Kiệt, Phường Diên Hồng, Hồ Chí Minh",Phường Diên Hồng
65000000000.0,146,16x8m,5,1.0,1,"Đường Hoàng Sa, Phường Nhiêu Lộc, Hồ Chí Minh",Phường Nhiêu Lộc
11800000000.0,188,"8,2x23m",4,4.0,1,"Đường Thạnh Lộc 27, Phường An Phú Đông, Hồ Chí Minh",Phường An Phú Đông
105000000000.0,245,13x18m,5,1.0,1,"Đường Điện Biên Phủ, Phường Xuân Hòa, Hồ Chí Minh",Phường Xuân Hòa
26000000000.0,68,4x17m,5,4.0,1,"Đường Nguyễn Bỉnh Khiêm, Phường Sài Gòn, Hồ Chí Minh",Phường Sài Gòn
130000000000.0,287,12x24m,8,8.0,0,"Đường Hồ Xuân Hương, Phường Xuân Hòa, Hồ Chí Minh",Phường Xuân Hòa
24700000000.0,100,"3,8x18m",3,1.0,0,"Đường Trần Nhân Tôn, Phường Vườn Lài, Hồ Chí Minh",Phường Vườn Lài
28000000000.0,120,"5,5x20m",1,3.0,0,"Đường Cộng Hòa, Phường Tân Bình, Hồ Chí Minh",Phường Tân Bình
130000000000.0,252,14x18m,1,11.0,0,"Đường Nguyễn Thị Minh Khai, Phường Bến Thành, Hồ Chí Minh",Phường Bến Thành
99000000000.0,144,8x18m,3,6.0,0,"Đường Cách Mạng Tháng Tám, Phường Bến Thành, Hồ Chí Minh",Phường Bến Thành
50000000000.0,200,15x16m,1,2.0,0,"Đường Bà Huyện Thanh Quan, Phường Nhiêu Lộc, Hồ Chí Minh",Phường Nhiêu Lộc
